电影名称,上映年份,上映时间,电影标签,播放时长,评分,语言,导演,作者,主演,宣传语,描述
The Green Mile,1999,2000-03-16,"Fantasy,Drama,Crime",189m,85,English,Frank Darabont,Stephen King,"Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,View More ",Paul Edgecomb didn't believe in miracles. Until the day he met one.,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution."
The Lord of the Rings: The Return of the King,2003,2003-12-18,"Adventure,Fantasy,Action",201m,85,English,Peter Jackson,J. R. R. Tolkien,"Elijah Wood,Ian McKellen,Viggo Mortensen,Sean Astin,Andy Serkis,Dominic Monaghan,Billy Boyd,John Noble,David Wenham,View More ",The eye of the enemy is moving.,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​"
Parasite,2019,2019-06-27,"Comedy,Thriller,Drama",133m,85,Korean,Bong Joon Ho,Han Jin-won,"Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-shik,Park So-dam,Lee Jung-eun,Jang Hye-jin,Park Myung-hoon,Jung Zi-so,View More ",Act like you own the place.,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident."
¿Quieres ser mi hijo?,2023,2023-09-21,"Comedy,Romance",100m,85,English,Ihtzi Hurtado,,"Ludwika Paleta,Juanpa Zurita,Hernán Mendoza,Harold Azuara,Agustín Arana,Yuriria del Valle,Karla Rico,Jorge Gidi,Isabel Gonzalez,View More ",,"Lu, a conformist woman in her forties, learns that her 15-year partner has been having extramarital affairs. Starting from scratch, she gets involved in an unexpected relationship with a young womanizer."
Pulp Fiction,1994,2011-04-18,"Thriller,Crime,Comedy",154m,85,English,Quentin Tarantino,Roger Avary,"John Travolta,Samuel L. Jackson,Uma Thurman,Bruce Willis,Ving Rhames,Harvey Keitel,Eric Stoltz,Tim Roth,Amanda Plummer,View More ",You won’t know the facts until you’ve seen the fiction.,"Filem jenayah penuh gaya ini menghubung kait kisah yang menampilkan seorang pembunuh upahan, rakan falsafahnya dan seorang peninju yang kian dilupakan."
Your Name.,2016,2016-08-26,"Animation,Romance,Drama",106m,85,Japanese,Makoto Shinkai,,"Ryunosuke Kamiki,Mone Kamishiraishi,Ryo Narita,Aoi Yuuki,Nobunaga Shimazaki,Kaito Ishikawa,Kanon Tani,Masaki Terasoma,Sayaka Ohara,View More ","Separated by distance, connected by fate.","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other."
Interstellar,2014,2014-11-06,"Adventure,Drama,Science Fiction",169m,85,English,Christopher Nolan,Jonathan Nolan,"Matthew McConaughey,Anne Hathaway,Michael Caine,Jessica Chastain,Casey Affleck,Wes Bentley,Topher Grace,Mackenzie Foy,Ellen Burstyn,View More ",Mankind was born on Earth. It was never meant to die here.,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.
"The Good, the Bad and the Ugly",1966,2009-08-04,Western,161m,85,Italian,Sergio Leone,Luciano Vincenzoni,"Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,Luigi Pistilli,Rada Rassimov,Enzo Petito,Claudio Scarchilli,Antonio Casale,View More ",For three men the Civil War wasn't hell. It was practice.,"While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold."
Forrest Gump,1994,2013-04-29,"Comedy,Drama,Romance",142m,85,English,Robert Zemeckis,Winston Groom,"Tom Hanks,Robin Wright,Gary Sinise,Sally Field,Mykelti Williamson,Michael Conner Humphreys,Hanna Hall,Haley Joel Osment,Siobhan Fallon Hogan,View More ",The world will never be the same once you've seen it through the eyes of Forrest Gump.,Seorang lelaki lemah lembut dan ramah menelusuri beberapa peristiwa penting sambil mengilhamkan orang di sekeliling dengan semangat positifnya yang berterusan.
GoodFellas,1990,1990-09-19,"Drama,Crime",145m,85,English,Martin Scorsese,Nicholas Pileggi,"Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Frank Sivero,Tony Darrow,Mike Starr,Frank Vincent,View More ",Three decades of life in the mafia.,Fildm ini menceritakan jatuh bangunnya anggota mafia Henry Hill dan teman-temannya selama zaman 1955-1980.
